"source_affected","state","years","sample","issue","evidence","action","status","rows_affected","where_fixed","date"
"Minnesota SoS","MN","1990-2010","HE","Minnesota had no House county data before 2012. Built from the Secretary of State election books archived by the Legislative Reference Library: 1990-1998 ('Vote for U.S. Representative by county' in the scanned books) and 2000-2010 ('Minnesota Votes' chapter tables), all 87 counties, 8 districts, 8-12 split counties a year. DFL is counted as Democratic, Independent-Republican / R as Republican","County sums equal the printed TOTAL rows for all 126 (1990-1998) and 185 (2000-2010) candidate columns; 2000-2010 district totals equal Wikipedia's; House total vs presidential/Senate total per county 0.92-1.02 (midterms vs the nearest presidential year lower, 0.64-0.91)","Added to the panel with 01co_minnesota_apply.R (gated, backed up), 957 county-years. OCR digit errors fixed from page images and the printed totals (15 items 1990-1998; 1 in 2000: Sabo, Hennepin printed '17,6629' -> 176,629). Zero-vote county-district blocks dropped","fixed","957 county-years added","R/data_creation/02q_house_mn_*.R; 01co_minnesota_apply.R","2026-09-21"
"Minnesota SoS","MN","1990;1992;1994;1996","HE","The 1990-1996 books print only the listed candidates, with no write-in column, so write-in votes (about 0.1-0.5% of a district) are missing from the county totals: Democratic and Republican shares are overstated by roughly 0.1-0.5 points in those years (1998 and later include write-ins where the book prints them; 2000 prints no write-in column and 2006 only named write-ins)","Comparison with Wikipedia district totals","Kept as printed","flagged","MN 1990-1996 (348 county-years) and 2000","R/data_creation/02q_house_mn_1990_1998.R","2026-09-21"
"Minnesota SoS","MN","2006","HE","2006 district 6, Binkowski (Independence), Sherburne County: the book prints 393 but the printed district total (23,557) is 2,000 more than the county rows add to (21,557), and Wikipedia agrees with the total. Sherburne was set to 2,393 (his share is 7-9% in every other county and 1.3% with 393); this is inferred from the totals, not read from the book","Printed district total, Wikipedia, share in other counties","Corrected to 2,393 by inference; treat as a flagged estimate (affects Sherburne 2006 by 2,000 of ~24,000 votes)","flagged","1 county-year (Sherburne 2006)","R/data_creation/02q_house_mn_2000_2010.R","2026-09-21"
"SC Election Commission","SC","2008","HE","South Carolina 2008 had House rows for only 28 of 46 counties in the panel. Completed from the State Election Commission's Election Night Reporting archive (enr-scvotes.org/SC/8562/15723; official post-election snapshot dated 06/01/2009; one row per county, districts 1-6, 12 split counties)","County sums equal the printed candidate totals for all 20 candidate lines; the 28 counties already in the panel are identical to this build; House total vs 2008 presidential total per county 0.90-0.99","Added the 18 missing counties with 01cp_south_carolina_2008_apply.R (gated, backed up); candidate names restored with punctuation by hand (the file prints 'James E Jim Clyburn')","fixed","18 county-years added","R/data_creation/02t_house_sc_2008.R; 01cp_south_carolina_2008_apply.R","2026-09-21"
"SC Election Commission","SC","1990-2006","HE","South Carolina had no House county data before 2008. Built from the State Election Commission election reports (scanned computer printouts): 1990 and 1992 (statewide tables read from page images; 1990 is dot-matrix and printed twice), 1994-1998 (OCR columns scrambled, county rows transcribed from images), 2000-2006 (OCR text cleaned: Z for 2, '.' for ',', slipped columns), 46 counties, 6 districts, 12-13 split counties a year","County sums equal the printed STATE TOTAL rows for every candidate column in every year (16, 20, 65 and 102 columns); district totals equal Wikipedia's (which cites the same report) except 2002 district 1; the 2000-2006 parser reproduces the 2008 report exactly; county House total vs presidential total 0.54-1.12 (0.23-0.69 in districts with no Democrat or in years compared with a different presidential year)","Added to the panel with 01cq_south_carolina_apply.R (gated, backed up), 414 county-years. Fusion candidates are kept as one row per party line (Democratic line counts as Democratic, Working Families / Patriot / Reform / etc. as Other). Corrections: 1990 (11 cells where the two printed copies disagreed, resolved by the column total), 1996 D5 Darlington 6,635 -> 6,633, 1998 D6 Florence/Lee names hidden by punch holes assigned by alphabetical position, 2004 D6 Colleton row split, 2000 D6 Lee","fixed","414 county-years added","R/data_creation/02s_house_sc_*.R; 01cq_south_carolina_apply.R","2026-09-21"
"SC Election Commission","SC","2002","HE","2002 district 1: the report prints Brown 122,518, Dunn 9,560, Innella 4,775 but Wikipedia has 127,562, 9,841 and 4,965 (all three higher; districts 2-6 match Wikipedia exactly). The county rows tie to the report's own printed STATE TOTAL and the page image was re-read","Wikipedia vs the report","Kept the report's numbers; probably a later amendment to the certified result (not confirmed). Second source needed","flagged","2002 district 1 (5 counties)","R/data_creation/02s_house_sc_2000_2006.R","2026-09-21"
"SC Election Commission","SC","2000;1998;1990","HE","Name and label uncertainties: 2000 district 1 prints 'BOB BATCHELDER' over both the Reform and Natural Law columns (the Natural Law column was named Joseph F. Innella per Wikipedia: Batchelder 2,067, Innella 1,110); 1998 district 1 Innella's party code is printed 'NP' (labelled Natural Law per Wikipedia); 1990 district 3 Sumter County has 14 Republican votes against 13,572 Democratic (the county's precinct page shows the same near-empty column and the district total includes it: low count in the source)","Wikipedia, the report's precinct pages","Kept as described; votes unchanged","flagged","3 items","R/data_creation/02s_house_sc_*.R","2026-09-21"
"Indiana SoS","IN","1990-2000","HE","Indiana had no House county data before 2002. Built from the Indiana Secretary of State election reports (image-only 400-dpi scans; per-district candidate blocks or county-by-candidate tables): 1990, 1992, 1994, 1996, 1998, 2000, all 92 counties, 10 districts, 13 split counties a year","County sums equal the printed TOTAL for all 158 candidate blocks that print one (the 7 Marion-only district-10 blocks in 1990-94 have no TOTAL and match Wikipedia's shares); Wikipedia party totals match for 1998 and 2000; House total vs Senate/presidential total per county 0.86-1.13 (median 0.97-1.01)","Added with 01cr_indiana_apply.R (gated, backed up), 552 county-years. Misreads found by the tie checks were corrected from 400-dpi crops (4 in 1990 and about 10 rows or cells in 1996-2000, logged in R/output/in_ocr_corrections_*.csv)","fixed","552 county-years added","R/data_creation/02u_house_in_1990_1994.R; 02u_house_in_1996_2000.R; 01cr_indiana_apply.R","2026-09-21"
"OpenElections","IN","2002;2010","HE","The OpenElections-based Indiana rows (66 of 92 counties) were wrong for 2002 and 2010: 26 counties (Adams, Benton, Blackford, Carroll, Cass, Dubois, Hancock, Huntington, Jasper, Jay, Jefferson, Jennings, Johnson, Lawrence, Madison, Miami, Newton, Ohio, Perry, Putnam, Ripley, Spencer, Switzerland, Wabash, Warren, Wells) were all-zero records, and 11 (2002) / 12 (2010) split counties carried only one district's part of the vote (e.g. Shelby 2002: 1,140 votes instead of 9,600; 2010 Shelby 14% of the official total)","The official Indiana election reports: 2002 (native-text PDF) and 2010 (scanned booklet); all candidate sums equal the printed totals, 2010 matches Wikipedia's district totals and the county Senate totals (0.97-1.06)","Replaced all 66 rows and added the 26 counties (23 of the 66 old rows changed value)","fixed","92 county-years each for 2002 and 2010 (52 added, 23 changed)","R/data_creation/02u_house_in_2002.R; 02u_house_in_2010.R; 01cr_indiana_apply.R","2026-09-21"
"OpenElections","IN","2004;2006;2008","HE","The same OpenElections source has the same flaws for 2004, 2006 and 2008 (66 of 92 counties, the 26 zero-vote counties missing, and split counties probably carrying only part of their vote), which the official reports would fix; no official report for these years is available yet","Pattern found in 2002 and 2010 (identical 26 missing counties in every year 2002-2010)","Not fixed; treat Indiana 2004-2008 county rows as unreliable for split counties until an official report is added","flagged","3 state-years (198 county-years present, 78 missing)","R/data_creation/01ac_house_county_indiana.R","2026-09-21"
"Indiana SoS","IN","1996;1994","HE","1996 suspect printed cells (kept as printed; the book's own totals include them): Miami district 5 Clark (D) 13,550 (House total 1.74x the presidential total; 3,550 would give 0.95), Wells district 4 Houseman (D) 7,909 (1.35x; 3,909 would give 0.99), Jay district 2 Carmichael (D) 3,776 (identical to McIntosh's in the same row). Our 1996 totals are 1,118,533 R / 944,469 D against Wikipedia's 1,109,066 / 930,919 (the Democratic gap equals the Miami cell). 1994 district 7: the book prints Myers 101,947 / Harmless 55,941 (64.6/35.4%), Wikipedia 65.1/34.9%","House vs presidential totals per county; Wikipedia","Kept as printed; probably typographical errors in the book, shares of Miami and Wells in 1996 are distorted by about 10,000 votes each","flagged","3 cells in 1996, 1994 district 7","R/data_creation/02u_house_in_1996_2000.R; 02u_house_in_1990_1994.R","2026-09-21"
"MEDSL","IN","2016;2018;2020;2022;2024","HE","MEDSL's Indiana House county rows were unreliable: county totals doubled in some counties (2016 Hamilton 63,882 vs 31,931; 2024 Hendricks 160,804 vs 80,387 and St. Joseph 217,886 vs 108,943), a district missing in others (2016 Grant and 2018 Vermillion/Fountain-type counties with no Democratic votes), 0.1-1% differences from the certified result in about 90 more county-years, and only 51 (2018), 53 (2020) and 35 (2022) of 92 counties","Indiana Election Division ENR archive (certified results, JSON): all 128 candidate lines tie to the district summary totals; House total vs presidential total per county 0.83-1.01 in 2016/2020/2024; the 2020 MEDSL rows that existed (53) are identical","Replaced all Indiana House rows for 2016-2024 with the ENR archive values and added the missing counties (01ct_indiana_enr_apply.R, gated, backed up); 134 existing rows changed (2016: 53, 2018: 42, 2022: 1, 2024: 38) and 138 were added","fixed","460 county-years (134 changed, 138 added, 188 unchanged)","R/data_creation/01cs_indiana_enr_download.R; 02v_house_in_enr.R; 01ct_indiana_enr_apply.R","2026-09-21"
"Indiana Election Division","IN","2016","HE","The 2016 ENR archive's settings file carries no 'certified' flag (2018-2024 do); the data are the post-election snapshot of Nov 17 2016","settings.json of the archive","Used as is; House totals are 0.83-1.00 of the presidential totals","flagged","92 county-years","R/data_creation/02v_house_in_enr.R","2026-09-21"
"Indiana SoS","IN","2004;2006;2008","HE","Indiana 2004-2008 built from the official Indiana Election Division election reports (image-only scans; every cell read from the page images): all 92 counties, 9 districts, 12 split counties, 25 / 23 / 24 candidate lines","County sums equal the printed candidate totals for all 72 lines; Wikipedia's district totals match; House total vs presidential total per county 0.93-1.01 (2004, 2008); 2006 vs the report's Treasurer of State race 1.01-1.12 (the Senate race had only two candidates)","Replaced the flawed OpenElections rows (01cw_indiana_2004_2008_apply.R, gated, backed up): 198 old rows replaced (35 changed value: 11 split counties per year carried 12-96% of their vote), 78 counties added (26 all-zero counties per year). Old 2006 rows counted the write-in Mantooth '(W-R)' as Republican. John Plemons (W-I, 2006 district 7) has no county cell in the report and is not included","fixed","276 county-years (198 replaced, 78 added)","R/data_creation/02u_house_in_2004.R; 02u_house_in_2006.R; 02u_house_in_2008.R; 01cw_indiana_2004_2008_apply.R","2026-09-21"
"Illinois SBE","IL","1998-2024","HE","Illinois had House rows only for 2008-2014 (OpenElections) and 2016-2024 (MEDSL). Built from the State Board of Elections' downloadable vote totals (Candidate Totals by County, GE<year>Cty files), 1998-2024, all 102 counties, 17-20 districts, 14-32 split counties; candidates listed without a party appear as 'None listed (write-in)'. The MEDSL rows differed from the official files in 48 (2016), 16 (2018), 22 (2020), 36 (2022) and 62 (2024) county-years, e.g. 2022 Cook 857,598 vs 1,404,768 and DuPage 130,050 vs 338,272; 2016 and 2024 MEDSL totals were up to 4% higher than certified","County sums equal the statewide candidate totals for every candidate in every year with a totals file (13 of 14 years; 2022 has none on the site); the 2008-2014 OpenElections rows are identical to the official files in all 102 counties; House total vs presidential/Senate total per county 0.71-1.10 (median 0.95-1.01; low values in unopposed districts)","Added 1998-2006 (510 county-years) and replaced the differing MEDSL rows 2016-2024 (01cv_illinois_apply.R, gated, backed up)","fixed","694 county-years (510 added, 184 replaced)","R/data_creation/01cu_illinois_sbe_download.py; 02w_house_il_sbe.R; 01cv_illinois_apply.R","2026-09-21"
"Illinois SBE","IL","1990-1996","HE","Illinois had no House county data before 1998. Built from the State Board of Elections official-vote books (scanned, OCR text layer): 1990 (22 districts), 1992, 1994, 1996 (20 districts), all 102 counties, 14-23 split counties; each district prints statewide candidate totals and percentages, county rows carry a plurality column","County sums equal the printed candidate totals for all 208 candidate lines (49, 52, 50, 57) and the printed percentages; the county-district pairs of 1994 and 1996 equal the 1998 official file's; House total vs presidential/Senate total per county 0.89-1.03 in 1992 and 1996 (1990: 0.60-1.03, low where Madigan and Michel had no opponent; 1994 compared with 1992: 0.53-0.92)","Added with 01cx_illinois_1990_1996_apply.R (gated, backed up), 408 county-years. OCR fixes from page images (about 20 cells, e.g. write-in cells dropped by OCR, garbled printed totals such as '100 1890' = 100,890, 1996 Wabash 4D = 40) are logged in R/output/il_ocr_corrections_*.csv. 1990 districts 8, 12, 15, 18 and 22 had no Democratic or Republican opponent (write-ins or minor parties only)","fixed","408 county-years added","R/data_creation/02w_house_il_1990_1992.R; 02w_house_il_1994_1996.R; 01cx_illinois_1990_1996_apply.R","2026-09-21"
"Nebraska SoS","NE","1990-2006","HE","Nebraska had House county data only from 2008. Built from the Secretary of State canvass books for 1990-2006 (1990-2002 and 2006 image-only scans read cell by cell from page images; 2004 native text; 1996 is rotated 90 degrees with all three districts on one page): all 93 counties, 3 districts, 1-2 split counties (Cass, Cedar, Sarpy)","County sums equal the printed TOTAL rows for every candidate column in every year; House total vs presidential/Senate total per county 0.86-1.06 (lower in years without a Democrat in district 3); the 1996-1998 books print no party labels (taken from Wikipedia); a cross-year scan of county totals found only 1998 Dundy as an outlier","Added with 01cy_nebraska_apply.R (gated, backed up), 837 county-years. Two offsetting 6/8 misreads in the 1996 district 3 (Adams Barrett 6,961 -> 8,961; Dawson 8,364 -> 6,364) were found only by the presidential-ratio check (0.81 and 1.23) because the column sum still tied; corrected from a 250-dpi crop. LESSON: a column-sum tie cannot catch offsetting misreads, so always inspect county-level ratio outliers","fixed","837 county-years added","R/data_creation/02x_house_ne_*.R; 01cy_nebraska_apply.R","2026-09-21"
"Nebraska SoS","NE","1998","HE","1998 district 3 Dundy County is printed as Barrett 162, Hickman 85, Remmenga 0, write-in 2 (total 249, about 0.28 of its usual House vote); the book's own printed district total includes these numbers. Also 1998 district 3 Hickman: the book prints 27,278 and the county rows tie, Wikipedia has 22,278 (probably a Wikipedia typo)","Cross-year county totals; the page image; Wikipedia","Kept as printed (the book's totals include the Dundy numbers)","flagged","1 county-year (Dundy 1998)","R/data_creation/02x_house_ne_1996_1998.R","2026-09-21"
"Georgia SoS (Wayback)","GA","1990-1998","HE","Georgia had House county data from 2000 only. Built from the Secretary of State's archived results pages (Internet Archive captures of July 2008): one page per congressional district (10 districts in 1990, 11 in 1992-1998) with county votes and printed candidate totals; all 159 counties, 3-26 split counties. The November 1992 runoff is ignored","County sums equal the printed candidate totals and percentages on all 54 district pages; House total vs presidential/Senate total per county 0.44-1.20, low (0.44-0.7) in uncontested districts (1998 districts 1, 3, 9: the unopposed candidate is listed with fewer votes than the Senate total)","Added with 01db_georgia_archive_apply.R (gated, backed up), 795 county-years. The 1990-1994 pages break 'Ben Hill' and 'Jeff Davis' over two lines (mapped by hand); the 1996-1998 pages give surnames only (names completed from Wikipedia where matched; flag surname_only otherwise) and list only the Democratic and Republican lines","fixed","795 county-years added","R/data_creation/01da_georgia_sos_archive_download.py; 02y_house_ga_archive.R; 01db_georgia_archive_apply.R","2026-09-21"
"MEDSL","ID;NC;RI;UT;WA;WV;WI;WY","2024","PE","367 county-years of the 2024 presidential results were missing from the panel: MEDSL's 2024 county file has a BLANK vote mode for Idaho, North Carolina, Rhode Island, Utah, Washington, West Virginia, Wisconsin and Wyoming; 01a read it as NA, its `any(mode == 'TOTAL')` test was NA and its filter silently dropped every row of those states","MEDSL countypres_2000-2024.tab (2024 rows for these states have mode ''); county totals afterwards are 0.83-1.21 of 2020 (median 1.01)","A blank mode is treated as a total (02c_president_long_medsl.R); the 367 rows were added with 01dd_pe_2024_missing_states_apply.R (gated, backed up) and to elect_pe_cty_medsl.rds","fixed","367 county-years added","R/data_creation/02c_president_long_medsl.R; 01dd_pe_2024_missing_states_apply.R","2026-09-21"
"MEDSL","AZ;IA;VT","2024","PE","MEDSL's `totalvotes` column includes OVERVOTES and UNDERVOTES rows in Arizona, Iowa and Vermont 2024 (0.4-1.8% of the total); 01a divided by it, so shares were slightly low and totals included non-votes","Candidate rows add up to less than totalvotes in exactly these 127 county-years","Totals and shares now use the sum of candidate votes (over/undervote rows removed with 01a's pseudo-row list); 127 panel rows replaced (01dc_pe_se_panel_apply.R)","fixed","127 county-years","R/data_creation/01dc_pe_se_panel_apply.R","2026-09-21"
"Algara & Amlani","IN;OK;GA;MO;DE;MA;WV","1990;1994;2000;2002;2010","SE","515 Senate county-years of even years 1990-2014 came from special elections only (Indiana 1990, Oklahoma 1994, Georgia 2000, Missouri 2002, Delaware / Massachusetts / West Virginia 2010): 01b used a special election when a state-year had no general one","Algara & Amlani election_type 'S'","Removed from the panel and the release (special elections are excluded from v1; the state-years appear in the gaps file as special_election_only)","fixed","515 county-years removed","R/data_creation/01dc_pe_se_panel_apply.R","2026-09-21"
"MEDSL","IN","2016;2018;2022;2024","SE","MEDSL's Indiana Senate county rows have the same problems as its House rows: 51 (2018) and 35 (2022) of 92 counties, and 139 of the existing rows differ from the certified results","Indiana Election Division ENR archive (certified results): all county sums equal the statewide candidate totals","Replaced and completed with the ENR values (01de_indiana_senate_enr_apply.R, gated, backed up)","fixed","368 county-years (139 changed, 98 added, 131 unchanged)","R/data_creation/01cs_indiana_enr_download.R; 02v2_senate_in_enr.R; 01de_indiana_senate_enr_apply.R","2026-09-21"
"Algara & Amlani","all","1990-2014 (SE); 1992;1996 (PE)","SE;PE","The historical President (1992, 1996) and Senate (1990-2014) sources itemize only the Democratic and Republican nominees; all other candidates are one aggregated row 'All other candidates (not itemized in the source)' (flag other_candidates_aggregated). MEDSL's own President 'OTHER' rows are likewise aggregated ('Other candidates')","Source columns","Kept; documented in SOURCES.csv and the data dictionary","flagged","President 1992-1996 and Senate 1990-2014; MEDSL President 2000-2024 other rows","R/data_creation/02d_historical_pe_se_long.R","2026-09-21"
"MEDSL","various","2018;2022","SE","A few non-candidate strings remain in MEDSL Senate rows ('Times Blank Voted' 590 votes, 'Blank (2)' 2 votes, 2018/2022): about 0.005% of the votes, not removed because the panel shares would need re-applying","Candidate names in the long table","Left as is (negligible)","flagged","2 candidate rows","R/data_creation/02b_senate_long_medsl.R","2026-09-21"
"MEDSL","NY","2016;2018;2022","HE;SE","MEDSL's New York rows carried non-candidate strings as votes: 'PUBLIC COUNTER' (the machine-count subtotal: 274,705 in the Bronx 2018) doubled the total and halved every share in Bronx and Queens 2018 and in all five boroughs in 2022 (House and Senate); smaller 'Manually Counted Emergency' / 'Scattered Votes' amounts in 2016 and in Kings, Nassau, Suffolk, Westchester and upstate counties; Tompkins County 2018 Senate had 38,211 'FEDERAL VOTES' (total 75,539 instead of 37,328)","Comparison of New York's 2018 Senate county table in America Votes 33: after the fix the county totals equal America Votes in 52 of 59 counties (within 0.1%) and Bronx, Queens and Tompkins agree","Added 'Federal Votes', 'Public Counter', 'Manually Counted (Emergency)' and 'Scattered Votes' to the pseudo-row list (01a PSEUDO_RE) and replaced 22 House and 22 Senate panel rows (01df_medsl_ny_pseudo_v3_apply.R, gated, backed up). Before the fix New York City's 2022 House shares were about half of their true value","fixed","44 county-years (22 House, 22 Senate)","R/data_creation/01a_election_data_medsl.R; 01df_medsl_ny_pseudo_v3_apply.R","2026-09-21"
"America Votes 33","NY","2018","SE","Three New York 2018 Senate counties (Jefferson, Niagara, Ulster) are missing from MEDSL; filled from the county table 'SENATOR 2018' of America Votes 33 (all 62 counties tie to the printed statewide totals). The book's candidate totals combine all party lines (Gillibrand: Democratic + Working Families + Independence + Women's Equality), while the MEDSL-based counties count the Democratic and Republican lines only, so these three counties' Democratic/Republican shares are slightly higher than a line-based count","America Votes 33, printed statewide totals","Added 3 county-years (01dg_ny_senate_2018_av33_apply.R); the rest of New York keeps the MEDSL line-based counts","fixed","3 county-years added","R/data_creation/02b2_senate_ny_2018_av33.R; 01dg_ny_senate_2018_av33_apply.R","2026-09-21"
"MEDSL","NY","2018","SE","Even after the fix, four New York counties differ from America Votes 33 by more than 1%: Lewis (MEDSL 8,182 vs 8,830), Madison (22,367 vs 25,735), Wyoming (13,818 vs 13,170) and Nassau (491,668 vs 499,245); MEDSL's precinct data look incomplete or padded there","America Votes 33 county table","Left as MEDSL (the book combines party lines, so a replacement would change the party definition within the state); flagged","flagged","4 county-years","R/data_creation/02b2_senate_ny_2018_av33.R","2026-09-21"
"MEDSL","GA;KY;ND;IL;ME;NJ;IN;NY;VT;AZ","2016;2018;2020;2024","HE;SE","MEDSL rows with a BLANK party field were classified OTHER: Georgia, Kentucky and North Dakota 2016 had Democratic AND Republican shares of 0 in 158 / 108 / 53 Senate county-years and in 16 (GA) and 27 (KY) House county-years; smaller cases in Illinois, Maine, New Jersey (2016), Indiana, New York, Vermont (2018/2020) and Arizona (2024). Totals were right, only the party split was wrong (in Georgia 2016 Senate the Democratic share showed 0 instead of about 0.42)","QA sweep test T3 (R/qa_medsl_sweep.R: Democratic and Republican shares both 0 in a county with more than 1,000 votes)","Blank party labels are now filled from the same candidate's labelled rows (state + district + name) for ALL state-years (01a fill_blank_party, previously used only for NJ/OR 2024); two Wikipedia overrides for North Dakota 2016 Senate (Hoeven REP, Glassheim DEM-NPL: no labelled row anywhere). 377 panel rows replaced (55 House, 322 Senate; 01dh_medsl_blank_party_apply.R)","fixed","377 county-years","R/data_creation/01dh_medsl_blank_party_apply.R; 02a_house_long_medsl.R; 02b_senate_long_medsl.R","2026-09-21"
"MEDSL","GA","2022","SE","MEDSL's Georgia 2022 Senate file holds the November general AND the December runoff (stage GEN and GEN RUNOFF); 01a summed both, so all 159 county totals were about twice the House totals (Democratic/Republican shares were close to the truth)","QA sweep test T2 (House vs Senate total in the same county: ratio 0.51 in 147 counties)","Decisive-round rule (same as Louisiana): only the runoff rows are kept (01a decisive_round; stage 'runoff'); 159 rows replaced (01di_medsl_ga_senate_2022_runoff_apply.R)","fixed","159 county-years","R/data_creation/01a_election_data_medsl.R; 01di_medsl_ga_senate_2022_runoff_apply.R","2026-09-21"
"MEDSL","NJ","2022","HE","MEDSL's New Jersey 2022 House file repeats the DISTRICT total in every county of the district (e.g. Salem County 273,706 votes: Van Drew 162,103 = his whole district); county totals are 2-8 times the presidential total in all 21 counties, so the county data are unusable","QA sweep test T1 (ratio to the presidential total 2.0-8.1 against a state median of 1.28)","Replaced with the New Jersey Division of Elections' official 2022 House results by county (PDF, Official List 01/18/2023): 53 candidates and 12 district totals tie exactly; county total votes 7,829,084 -> 2,609,716 (0.45-0.72 of the 2020 presidential total)","fixed","21 county-years (New Jersey 2022 House)","R/data_creation/02aa_house_nj_2022.R; R/data_creation/01dj_nj_2022_apply.R","2026-09-21"
"MEDSL","NY;OR;MI;FL;MD;MS;OK;NH;UT;AL;TN;TX;ND","2016-2024","HE;SE","Remaining outliers found by the QA sweep and not yet resolved (R/output/qa_medsl_sweep_flags.csv, 64 flags): NY 2018 House Monroe (Morelle's Democratic rows are missing from the raw file entirely: House total 122,869 vs Senate 280,026), Dutchess, Montgomery, Rensselaer and Oswego; NY 2022 Chenango and Otsego (about 1.4x the usual ratio in both offices); Oregon 2018 Tillamook (House votes doubled: Schrader 13,604 + Callahan 11,436 in a county of about 14,000 voters); Michigan 2022 Midland (4,293 votes, about 10% of the usual turnout); New Hampshire 2016 Strafford; Maryland 2020 Howard and Baltimore City (0.43 of presidential); Mississippi 2022 Yazoo and 2024 Noxubee; Oklahoma 2024 Canadian and Creek; New Jersey 2024 Bergen (already flagged); and low ratios in Florida, Alabama and Tennessee that mostly reflect unopposed districts (Florida prints no unopposed races)","QA sweep tests T1 and T2","Flagged only: each needs the state's official county results or a check of the raw MEDSL rows","flagged","about 50 county-years","R/qa_medsl_sweep.R","2026-09-21"
"MEDSL","ME","2004","PE","Presidential county rows are incomplete: the raw MEDSL file itself sums to 686,510 votes against 740,752 certified (-7.3%); Bush -6.4%, Kerry -8.2%. Cumberland County is the clear outlier (0.95 of its 2000 total against 1.03-1.16 elsewhere) but does not explain all 54,242 votes. Fixed: 15 of 16 counties were low, not only Cumberland (Cumberland 135,485 vs 162,962 certified)","FEC 'Federal Elections 2004' state result vs county sum; raw countypres file sums to the release figure","Replaced with the by-county table of Wikipedia's 2004 Maine page (secondary; Maine's own site has no 2004 results); county sums equal the FEC certified Kerry 396,842, Bush 330,201 and total 740,752 exactly. Replace with a primary source when found","fixed","16 county-years (Maine 2004 President)","R/data_creation/02ab_president_me_ms_2004.R; R/data_creation/01dl_pe_me_ms_2004_apply.R","2026-09-21"
"MEDSL","MS","2004","PE","Presidential county rows are low: state total 1,114,859 vs 1,152,145 certified (-3.2%); Bush -2.7%, Kerry -3.9%. Oktibbeha County has 9,742 votes (14,804 in 2000, 18,792 in 2008); other counties may be short too. Fixed: 78 of 82 counties were low (Oktibbeha 9,742 vs 16,279 certified, Hinds -6,235, Lowndes -3,520)","FEC 2004 state result vs county sum; Oktibbeha cross-year ratio","Replaced with the by-county table of Wikipedia's 2004 Mississippi page, which cites the Mississippi Secretary of State's Amended Certification (22 March 2005; PDF saved in the repository, Bolivar and Oktibbeha checked against it); county sums equal the FEC certified Bush 684,981, Kerry 458,094 and total 1,152,145 exactly. The 5 minor candidates are not itemized","fixed","82 county-years (Mississippi 2004 President); at least Oktibbeha","R/data_creation/02ab_president_me_ms_2004.R; R/data_creation/01dl_pe_me_ms_2004_apply.R","2026-09-21"
"MEDSL","NY","2008;2020","PE","State sums are below the certified totals: 2008 Obama -35,245 (-0.7%), McCain -10,473, total -49,698; 2020 Biden -13,901, Trump -7,199 (nominees -21,100). Not located to a county; possibly late-counted absentee/affidavit ballots","FEC state result vs county sum","Flagged; needs New York State Board of Elections county certification","flagged","62 county-years each","R/qa_state_reconcile_pe.R","2026-09-21"
"MEDSL","ME","2012;2016;2020;2024","PE","Maine: 2012 and 2016 raw MEDSL rows sum EXACTLY to the certified state totals (713,180; 747,927) but include one non-county row (statewide federal/UOCAVA ballots, e.g. 3,054 votes in 2012) that cannot be assigned to a county and is excluded from the release, so county sums are 0.4-0.5% below the state total by design (this fully explains the 2012 and 2016 gaps). 2020 and 2024 have no such row and are NOT explained: Biden -4,599 (-1.1%) and Harris -5,310 (-1.2%) against the certified nominee counts, 2020 total +3,073 and 2024 total -6,569","FEC state result vs county sum; raw file county list","Documented for 2012/2016; 2020 and 2024 flagged, need the Maine Secretary of State's town results","flagged","16 county-years each","R/qa_state_reconcile_pe.R","2026-09-21"
"MEDSL","MD;NJ;WI","2000;2004;2012","PE","Round-number errors in nominee sums that point to a single wrong digit in one county: Maryland 2000 Gore +5,000 (ours 1,145,782 vs 1,140,782 certified; Prince George's is the likely county: 216,119 against about 211,000 expected from 1996/2004), New Jersey 2004 Bush -2,000, Wisconsin 2012 Romney +3,000","FEC state result vs county sum (differences are exactly 5,000 / 2,000 / 3,000)","Flagged; county not yet confirmed","flagged","one county-year each (unlocated except Maryland)","R/qa_state_reconcile_pe.R","2026-09-21"
"MEDSL","WA;MA;PA;AZ;NJ;NY;VT;WY;MT;SD;NE;VA","2008;2016;2020;2024","PE","State totals differ from certified by 0.5-3.3% while the two nominees match exactly: 'other' votes (write-ins, scattering, minor candidates) are incomplete or over-included. Largest: Washington 2016 -107,805 (-3.3%), Massachusetts 2016 -50,491, Pennsylvania 2016 -50,076 and 2008 -19,500, New Jersey 2008 -29,739, Arizona 2016 +31,154, New York 2020 +65,974 in the 'other' bucket","FEC state result: nominee sums equal, totals differ","Documented: Democratic/Republican votes and two-party shares are reliable; total votes and shares of the total carry a 1-3% error in these state-years","flagged","about 20 state-years","R/qa_state_reconcile_pe.R","2026-09-21"
